2019-02-21 18:29:37.9159||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-02-21 18:29:47.4780||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Assan\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-02-21 18:30:03.9291|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-02-21 19:30:45.4822||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-02-21 19:30:53.0799||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Assan\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-02-21 19:35:40.9803||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-02-21 19:35:49.2166||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Assan\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-02-21 19:36:06.8894|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-02-21 19:36:40.6514||INFO|AWSSDK|Found AWS credentials for the profile development |url: http://localhost/api/send-feedback|action: SendFeedback
2019-02-21 19:37:09.8480||WARN|TemplateCoreWebTest.Services.GoogleRecaptcha.GoogleRecaptcha|Captcha validation failed: |url: http://localhost/api/send-feedback|action: SendFeedback
2019-02-21 19:37:40.9695||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-02-21 19:37:45.8205||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-02-21 19:38:09.8479||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-02-21 19:38:14.2405||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Assan\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-02-21 19:40:30.2984||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-02-21 19:40:35.1065||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Assan\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-02-21 19:40:55.3590||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-02-21 19:41:07.7571||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Assan\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-02-21 19:41:28.1734|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-02-21 19:41:46.8062||INFO|AWSSDK|Found AWS credentials for the profile development |url: http://localhost/api/send-feedback|action: SendFeedback
2019-02-21 19:46:52.0288||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-02-21 19:46:56.2652||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Assan\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-02-21 19:49:54.3286||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-02-21 19:50:03.8772||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Assan\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-02-21 19:50:24.6875|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-02-21 19:50:51.3742||INFO|AWSSDK|Found AWS credentials for the profile development |url: http://localhost/api/send-feedback|action: SendFeedback
2019-02-21 19:51:56.3085||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-02-21 19:52:01.4452||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Assan\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-02-21 19:52:16.7658|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-02-21 19:52:34.9551||INFO|AWSSDK|Found AWS credentials for the profile development |url: http://localhost/api/send-feedback|action: SendFeedback
2019-02-21 19:57:26.5048||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-02-21 19:57:31.3681||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Assan\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-02-21 19:57:47.1743|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-02-21 19:58:07.4892||INFO|AWSSDK|Found AWS credentials for the profile development |url: http://localhost/api/send-feedback|action: SendFeedback
2019-02-21 20:00:06.0795||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-02-21 20:00:10.8712||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Assan\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-02-21 20:00:26.6026|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-02-21 20:00:39.7937||INFO|AWSSDK|Found AWS credentials for the profile development |url: http://localhost/api/send-feedback|action: SendFeedback
2019-02-21 20:00:55.7798||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-02-21 20:01:00.9658||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Assan\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-02-21 20:01:14.0366|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-02-21 20:01:30.2909||INFO|AWSSDK|Found AWS credentials for the profile development |url: http://localhost/api/send-feedback|action: SendFeedback
