2019-02-13 09:29:38.4194||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-02-13 09:29:47.9219||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Assan\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-02-13 09:30:07.3076|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-02-13 10:25:15.2148||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-02-13 10:25:25.9664||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Assan\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-02-13 10:25:44.8020|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-02-13 12:41:32.5197||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-02-13 12:41:44.7228||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Assan\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-02-13 12:42:04.1542|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-02-13 15:13:39.2117||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-02-13 15:13:44.0892||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Assan\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-02-13 15:14:01.3234|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-02-13 15:20:31.6947||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-02-13 15:20:36.7969||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Assan\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-02-13 15:20:50.0965|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/9ff9e1e9f20c5a9f3c3d.hot-update.json|action: 
